system   I             system.c:242  al_install_system                [   0.00000] Allegro version: 5.1.13 (WIP)
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.00162] Loading DirectSound module
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00182] PathFindOnPath found: C:\Windows\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00183] Calling LoadLibrary C:\Windows\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00225] Loaded C:\Windows\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00227] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.02472] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.02644] Using DirectSound driver
system   D            wsystem.c:245  win_get_display_driver           [   0.02648] Configuration value graphics.driver = default
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.02704] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.02705] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.03163] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.03431] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.03472] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.03473] al_display=02A00C40
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.03473] al_display->vt=02B8B8C8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03648] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.03651] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03653] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03653] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03655] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03655] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03657] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03657] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03659] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03659] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03661] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03662] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03663] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03664] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03665] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03666] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03667] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03668] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03675] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03676] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03678] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03678] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03680] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03680] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03682] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03682] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03684] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03684] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03686] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03686] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03687] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03688] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03689] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03690] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03691] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03692] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03693] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03694] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03695] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03696] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03697] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03698] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03699] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03700] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03701] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03702] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03703] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03703] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03705] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03705] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03707] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03708] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03709] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03710] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03711] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03713] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03713] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03714] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03715] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03716] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03717] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03718] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03719] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03720] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03726] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03732] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03739] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03740] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03741] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03742] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03743] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03744] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03745] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03746] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03747] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03747] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03749] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03749] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03751] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03751] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03753] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03753] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03755] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03755] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03757] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03757] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03759] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03759] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03761] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03761] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03763] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03763] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03765] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03765] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03766] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03767] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03768] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03769] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03770] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03771] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03772] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03773] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03774] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03775] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03776] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03777] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03778] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03779] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03780] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03782] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03782] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03783] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03787] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03788] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03789] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03790] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03791] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03792] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03793] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03794] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03795] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03796] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03797] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03798] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03799] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03800] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03801] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03802] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03803] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.03805] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.03820] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.03822] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.05286] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.06185] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.06189] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.06191] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.06193] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.06195] Returning d3d_display: 02A00C40
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.06196] al_display=02A00C40
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.06197] al_display->vt=02B8B8C8
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.06342] PathFindOnPath failed to find d3dx9_43.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.06402] PathFindOnPath failed to find d3dx9_42.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.06567] PathFindOnPath failed to find d3dx9_41.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.06729] PathFindOnPath failed to find d3dx9_40.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.06929] PathFindOnPath failed to find d3dx9_39.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.07145] PathFindOnPath failed to find d3dx9_38.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.07457] PathFindOnPath failed to find d3dx9_37.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.07607] PathFindOnPath failed to find d3dx9_36.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.07678] PathFindOnPath failed to find d3dx9_35.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.07751] PathFindOnPath failed to find d3dx9_34.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.07825] PathFindOnPath failed to find d3dx9_33.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.07897] PathFindOnPath failed to find d3dx9_32.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.07961] PathFindOnPath failed to find d3dx9_31.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.08104] PathFindOnPath failed to find d3dx9_30.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.08314] PathFindOnPath failed to find d3dx9_29.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.08435] PathFindOnPath failed to find d3dx9_28.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.08670] PathFindOnPath failed to find d3dx9_27.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.08747] PathFindOnPath failed to find d3dx9_26.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.09133] PathFindOnPath failed to find d3dx9_25.dll
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.09345] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.09347] Failed to load D3DX9 library. Library is not installed.stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.09741] opening gs_icon.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09807] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09813] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09814] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09815] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09816] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09817] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09817] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09818] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.09819] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.09820] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.09821] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.09822] Found a format
d3d      I         d3d_disp.cpp:2380 d3d_create_bitmap                [   0.09823] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09891] added dtor for object 02A19FD0, func 004177B0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.10003] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.10034] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10265] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10267] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10269] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10269] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10270] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10270] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10271] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10271] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10272] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.10272] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.10273] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.10273] Found a format
d3d      I         d3d_disp.cpp:2380 d3d_create_bitmap                [   0.10274] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10283] added dtor for object 02A16DA8, func 004177B0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.10685] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.10688] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10790] removed dtor for object 02A16DA8
d3d      W         d3d_disp.cpp:2423 _al_d3d_destroy_bitmap           [   0.10799] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11085] Fake format
