00000000 E0000000 00000000 00000000 00000000 00000000 00000007 FFFFFFFF 
00000000 F8000000 00000000 00000000 00000000 00000000 000001FF FFFFFFFF 
00000000 FFC00000 00000000 00000000 00000000 00000000 000003FF FFFFFFFF 
00000000 FFE00000 00000000 00000000 00000000 00000000 00000FFF FFFFFFFF 
00000000 FFF00000 00000000 00000000 00000000 00000000 00003FFF FFFFFFFF 
00000000 FFFF0000 00000000 00000000 00000000 00000000 00007FFF FFFFFFFF 
00000000 FFFF8000 00000000 00000000 00000000 00000000 0000FFFF FFFFFFFF 
00000000 FFFF8000 00000000 00000000 00000000 00000000 0000FFFF FFFFFFFF 
00000000 FFFFC000 00000000 00000000 00000000 00000000 0000FFFF FFFFFFFF 
00000000 FFFFC000 00000000 00000000 00000000 00000000 0001FFFF FFFFFFFF 
00000000 FFFFC000 00000000 00000000 00000000 00000000 0001FFFF FFFFFFFF 
00000000 FFFFC000 00000000 00000000 00000000 00000000 0001FFFF FFFFFFFF 
00000000 FFFFC000 00000000 00000000 00000000 00000000 0003FFFF FFFFFFFF 
00000000 FFFFF000 00000000 00000000 00000000 00000000 0007FFFF FFFFFFFF 
00000000 FFFFF800 00000000 00000000 00000000 00000000 003FFFFF FFFFFFFF 
00000000 FFFFFF00 00000000 00000000 00000000 00000000 007FFFFF FFFFFFFF 
00000000 FFFFFF80 00000000 00000000 00000000 00000000 01FFFFFF FFFFFFFF 
00000000 FFFFFFC0 00000000 00000000 00000000 00000000 03FFFFFF FFFFFFFF 
00000000 FFFFFFE0 00000000 00000000 00000000 00000000 07FFFFFF FFFFFFFF 
00000000 FFFFFFF0 00000000 00000000 00000000 00000000 0FFFFFFF FFFFFFFF 
00000000 FFFFFFF8 00000000 00000000 00000000 00000000 1FFFFFFF FFFFFFFF 
00000000 FFFFFFFC 00000000 00FC0000 00000000 00000000 1FFFFFFF FFFFFFFF 
00000000 FFFFFFFE 00000000 01FFC000 00000000 00000000 1FFFFFFF FFFFFFFF 
00000000 FFFFFFFE 00000000 03FFE000 00000000 00000000 3FFFFFFF FFFFFFFF 
00000000 FFFFFFFE 00000000 0FFFF800 00000000 00000000 3FFFFFFF FFFFFFFF 
00000000 FFFFFFFF 0000001C 1FFFFE00 00000000 00FF0720 3FFFFFFF FFFFFFFF 
00000000 FFFFFFFF 0000003E 3FFFFF00 03FF8000 01FF9FF0 7FFFFFFF FFFFFFFF 
00000000 FFFFFFFF 03FC00FF 3FFFFF80 0FFFE0F8 07FFFFFC 7FFFFFFF FFFFFFFF 
00000000 FFFFFFFF 0FFFE0FF FFFFFFF8 3FFFF3FC 1FFFFFFE 7FFFFFFF FFFFFFFF 
00000000 FFFFFFFF 3FFFFFFF FFFFFFFF FFFFFFFE 3FFFFFFF 7FFFFFFF FFFFFFFF 
00000000 FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF 
00000000 FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF 
00000000 00000000 00000000 00000000 FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF 
00000000 00000000 00000000 00000000 FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF 
00000000 00000000 00000000 00000000 FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF 
00000000 00000000 00000000 00000000 FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF 
